Part #,Package,Vs+ (min),Vs+ (max),Package Size-mm (typ),Interface,Special Features,Is (typ),Device Sensors,Accelerometer Axis to Axis Alignment (typ),0G Offset Tempco (typ),Accelerometer Non-Linearity (typ),Accelerometer Sensitivity Tempco (typ),Accelerometer Velocity Random Walk (typ),Gyro Bias Tempco (typ),Gyro Sensitivity Repeatability (max),Gyro Non-Linearity (typ),Gyro Sensitivity Tempco (typ),Noise Density (typ),Accelerometer Output Total Noise (typ),Gyro Output Total Noise (typ),Accelerometer BW (typ),Sensor Primary Function,Accelerometer Bias Repeatability (typ),Accelerometer Sensitivity Repeatability (max),Gyro BW (typ),Gyro Bias over Temp (typ),Gyro Sensitivity over Temp (typ),Accelerometer Sensitivity over Temp (typ),Accelerometer Bias Over Temp (typ),Price (100-499),Product Description,Status,Export Classification,Automotive,Reliability Level,Temp Range,Package Area,Package Height,Launch Date,EP,Degrees of Freedom,Gyro Input Range +/- (min),Gyro In-Run Bias Stability (typ),Gyro Angular Random Walk (typ),Gyro Noise Density (typ),Gyro Linear G (typ),Gyro Axis to Axis Alignment (typ),Gyro Bias Repeatability (typ),Accel. Range,Accel. In-Run Bias Stability (typ),Calibrated Temp Range,Output Sample Rate (max),Price (1000+)
,,(V),(V),,,,(A),,(°),(g/°C),(% FSR),(ppm/°C),((m/s)/rthr),((°/s)/°C),(%),(% FSR),(ppm/°C),(g/rtHz),(g),(°/s),(Hz),,(g),(%),(Hz),(°/s),(%),(%),(g),($ US),,,,,,,(mm²),(mm),,,(°),(°/s),(°/hr),(°/rthr),((°/s)/rtHz),((°/s)/g),(°),(°/s),,(g),,(SPS),($ US)
ADIS16470,44-Ball BGA Module,3,3.6,15x11x15,SPI,IMU Miniature Precision,0.042,3 axis Accelerometer 3 axis Gyro,0.1,,0.02,,0.037,,,0.25,,0.0001,0.0023,0.17,600,Electronic Stability Control,,,550,0.2,0.25,0.1,0.004,199,"Wide Dynamic Range, Miniature MEMs IMU",Recommended for New Designs,7A994,No,,-25 to 85°C,,,2017-10-30,No,6,2000,8,0.34,0.008,0.015,0.1,,40 g,0.000013,-10C to +70C,2000,149
ADIS16475-1,44-Ball BGA Module,3,3.6,15x11x15,SPI,IMU Miniature Precision,0.044,3 axis Accelerometer 3 axis Gyro,0.05,,0.25,,0.012,,,0.2,,0.000023,0.0006,0.07,600,Electronic Stability Control,,,550,0.2,0.3,0.1,0.001,528,"Precision, Miniature MEMs IMU (2000dps, 8g)",Recommended for New Designs,7A994,No,,-40 to 105°C,,,2017-10-31,No,6,125,2,0.15,0.003,0.01,0.1,0.7,8g,0.0000036,-40 to 85°C,2000,365
ADIS16475-2,44-Ball BGA Module,3,3.6,15x11x15,SPI,IMU Miniature Precision,0.044,3 axis Accelerometer 3 axis Gyro,0.05,,0.25,,0.012,,,0.2,,0.000023,0.0006,0.08,600,Electronic Stability Control,,,550,0.2,0.3,0.1,0.001,528,"Precision, Miniature MEMs IMU (2000dps, 8g)",Recommended for New Designs,7A994,No,,-40 to 105°C,,,2017-10-31,No,6,500,2.5,0.15,0.003,0.01,0.1,0.7,8g,0.0000036,-40 to 85°C,2000,365
ADIS16475-3,44-Ball BGA Module,3,3.6,15x11x15,SPI,IMU Miniature Precision,0.044,3 axis Accelerometer 3 axis Gyro,0.05,,0.25,,0.012,,,0.25,,0.000023,0.0006,0.17,600,Electronic Stability Control,,,550,0.2,0.3,0.1,0.001,528,"Precision, Miniature MEMs IMU (2000dps, 8g)",Recommended for New Designs,7A994,No,,-40 to 105°C,,,2017-10-31,No,6,2000,7,0.3,0.008,0.01,0.1,0.7,8g,0.0000036,-40 to 85°C,2000,365
ADIS16477-1,44-Ball BGA Module,3,3.6,15x11x15,SPI,IMU Miniature Precision,0.044,3 axis Accelerometer 3 axis Gyro,0.05,,0.02,,0.037,,,0.2,,0.0001,0.0023,0.07,600,Electronic Stability Control,,,550,0.2,0.3,0.1,0.003,528,"Precision Mini MEMS IMU (2000dps, 40g)",Recommended for New Designs,7A994,No,,-40 to 105°C,,,2017-10-31,No,6,125,2,0.15,0.003,0.01,0.1,0.7,40 g,0.000013,-40 to 85°C,2000,365
ADIS16477-2,44-Ball BGA Module,3,3.6,15x11x15,SPI,IMU Miniature Precision,0.044,3 axis Accelerometer 3 axis Gyro,0.05,,0.02,,0.037,,,0.2,,0.0001,0.0023,0.08,600,Electronic Stability Control,,,550,0.2,0.3,0.1,0.003,528,"Precision Mini MEMS IMU (2000dps, 40g)",Recommended for New Designs,7A994,No,,-40 to 105°C,,,2017-10-31,No,6,500,2.5,0.15,0.003,0.01,0.1,0.7,40 g,0.000013,-40 to 85°C,2000,365
ADIS16477-3,44-Ball BGA Module,3,3.6,15x11x15,SPI,IMU Miniature Precision,0.044,3 axis Accelerometer 3 axis Gyro,0.05,,0.02,,0.037,,,0.25,,0.0001,0.0023,0.17,600,Electronic Stability Control,,,550,0.2,0.3,0.1,0.003,528,"Precision Mini MEMS IMU (2000dps, 40g)",Recommended for New Designs,7A994,No,,-40 to 105°C,,,2017-10-31,No,6,2000,7,0.3,0.008,0.01,0.1,0.7,40 g,0.000013,-40 to 85°C,2000,365
ADIS16495-1,24-Lead Module with Connector Interface MSM LAMINATE,3,3.6,47x44x14,SPI,high-performance IMU Module w/embedded connector,0.089,3 axis Accelerometer 3 axis Gyro,0.05,,0.25,,0.008,,,0.25,,0.000017,0.0005,0.051,750,Inertial Navigation Sensor,,,480,0.1,0.3,0.01,0.0005,2339,"Tactical Grade, Six Degrees of Freedom Inertial Sensor",Recommended for New Designs,7A994,No,,-40 to 105°C,,,2017-10-31,No,6,125,0.8,0.09,0.002,0.006,0.05,0.07,8g,0.0000032,-40 to 85°C,4250,1719
ADIS16495-2,24-Lead Module with Connector Interface MSM LAMINATE,3,3.6,47x44x14,SPI,high-performance IMU Module w/embedded connector,0.089,3 axis Accelerometer 3 axis Gyro,0.05,,0.25,,0.008,,,0.2,,0.000017,0.0005,0.058,750,Inertial Navigation Sensor,,,550,0.1,0.3,0.01,0.0005,2339,"Tactical Grade, Six Degrees of Freedom Inertial Sensor",Recommended for New Designs,7A994,No,,-40 to 105°C,,,2017-10-31,No,6,450,1.6,0.1,0.0022,0.006,0.05,0.07,8g,0.0000032,-40 to 85°C,4250,1719
